Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
3284,7508362.824,4691232.598,663.369,2,1,3,1
3285,7508353.434,4691218.609,665.018,2,1,3,1
3286,7508342.903,4691197.001,665.133,2,1,3,1
3287,7508340.882,4691174.732,665.097,2,1,3,1
3288,7508343.162,4691164.362,665.312,2,1,3,1
3289,7508342.282,4691146.602,665.535,2,1,3,1
3290,7508341.501,4691108.784,666.094,2,1,3,1
3843,7508412.921,4691138.04,663.827,2,1,3,1
3845,7508416.262,4691174.389,661.098,2,1,3,1
3846,7508409.742,4691183.339,661.484,2,1,3,1
3847,7508404.223,4691192.058,661.373,2,1,3,1
3848,7508410.853,4691209.567,661.196,2,1,3,1
3849,7508417.624,4691223.226,660.991,2,1,3,1
3850,7508427.354,4691236.275,660.643,2,1,3,1
3851,7508440.265,4691253.674,659.853,2,1,3,1
3852,7508460.716,4691287.202,658.932,2,1,3,1
3853,7508474.797,4691317.42,658.112,2,1,3,1
3874,7508461.488,4691323.83,659.527,2,1,3,1
3875,7508451.728,4691334.25,660.566,2,1,3,1
3876,7508450.398,4691335.18,660.768,2,1,3,1
3877,7508445.338,4691338.76,660.637,2,1,3,1
3882,7508369.332,4691177.721,663.232,2,1,3,1
3883,7508410.976,4691281.274,662.405,2,1,3,1
3884,7508431.497,4691309.012,661.263,2,1,3,1
3888,7508406.882,4691169.779,661.236,2,1,3,1
3889,7508402.931,4691137.869,663.966,2,1,3,1
3890,7508399.51,4691113.941,665.363,2,1,3,1
6365,7508412.881,4691137.761,663.815,2,1,3,1
6367,7508416.152,4691173.191,661.099,2,1,3,1
6379,7508457.313,4691281.623,658.934,2,1,3,1
8650,7508373.179,4691110.41,665.215,2,1,3,1
9067,7508340.882,4691107.089,666.169,2,1,3,1
9068,7508341.726,4691107.143,666.042,2,1,3,1
9069,7508351.645,4691108.078,666.25,2,1,3,1
9070,7508358.414,4691108.715,666.255,2,1,3,1
9072,7508368.178,4691109.639,665.213,2,1,3,1
9073,7508370.038,4691109.815,665.146,2,1,3,1
9074,7508373.139,4691110.104,665.204,2,1,3,1
