Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7508357.412,4691176.469,663.227,2,1,3,1
2,7508362.876,4691151.025,663.827,2,1,3,1
3289,7508342.282,4691146.602,665.578,2,1,3,1
3287,7508340.882,4691174.732,665.097,2,1,3,1
3288,7508343.162,4691164.362,665.312,2,1,3,1
3290,7508341.501,4691108.784,666.094,2,1,3,1
3845,7508416.262,4691174.389,661.098,2,1,3,1
3846,7508409.742,4691183.339,661.484,2,1,3,1
3882,7508369.332,4691177.721,663.232,2,1,3,1
3888,7508406.882,4691169.779,661.236,2,1,3,1
3889,7508402.931,4691137.869,663.966,2,1,3,1
3890,7508399.51,4691113.941,665.363,2,1,3,1
8650,7508373.179,4691110.41,665.215,2,1,3,1
9067,7508340.882,4691107.089,666.169,2,1,3,1
9068,7508341.726,4691107.143,666.042,2,1,3,1
9069,7508351.645,4691108.078,666.25,2,1,3,1
9070,7508358.414,4691108.715,666.255,2,1,3,1
9072,7508368.178,4691109.639,665.213,2,1,3,1
9073,7508370.038,4691109.815,665.146,2,1,3,1
9074,7508373.139,4691110.104,665.204,2,1,3,1
