North: 4690166.2248m     East: 7509908.4029m
North: 4690166.7233m     East: 7509906.5927m
North: 4690167.1759m     East: 7509908.1946m
North: 4690174.7623m     East: 7509905.9427m
North: 4690191.2323m     East: 7509901.7237m
North: 4690193.4533m     East: 7509767.8907m
North: 4690195.5702m     East: 7510017.4589m
North: 4690196.0473m     East: 7509768.8137m
North: 4690197.6673m     East: 7510014.3337m
North: 4690198.4523m     East: 7509743.1127m
North: 4690202.1233m     East: 7509724.9187m
North: 4690207.3173m     East: 7510005.9237m
North: 4690209.5713m     East: 7509900.7437m
North: 4690210.4073m     East: 7510003.4437m
North: 4690212.5473m     East: 7509746.7337m
North: 4690213.6683m     East: 7509727.0437m
North: 4690215.3143m     East: 7509583.4037m
North: 4690218.3033m     East: 7509611.8537m
North: 4690223.9213m     East: 7509652.2637m
North: 4690225.0173m     East: 7509985.5147m
North: 4690231.5473m     East: 7509969.7047m
North: 4690232.6403m     East: 7509646.7447m
North: 4690237.5833m     East: 7509585.4247m
North: 4690239.2173m     East: 7509955.3547m
North: 4690239.5103m     East: 7509642.3947m
North: 4690244.1093m     East: 7509897.4847m
North: 4690245.4073m     East: 7509783.6427m
North: 4690245.9603m     East: 7509638.3147m
North: 4690246.9774m     East: 7509501.2072m
North: 4690247.7684m     East: 7509488.7972m
North: 4690249.1874m     East: 7509509.0172m
North: 4690249.9884m     East: 7509473.5072m
North: 4690250.1493m     East: 7509653.3747m
North: 4690250.2963m     East: 7509759.4937m
North: 4690251.0903m     East: 7509755.5717m
North: 4690251.2274m     East: 7509519.3572m
North: 4690251.3884m     East: 7509459.8782m
North: 4690254.9164m     East: 7509530.3072m
North: 4690255.2894m     East: 7509428.9782m
North: 4690255.5594m     East: 7509432.0782m
North: 4690259.1913m     East: 7509595.9557m
North: 4690260.2064m     East: 7509540.8272m
North: 4690262.7963m     East: 7509729.8857m
North: 4690263.8083m     East: 7509660.1457m
North: 4690265.4754m     East: 7509546.9572m
North: 4690265.5373m     East: 7509929.6557m
North: 4690267.8093m     East: 7509654.1357m
North: 4690267.9683m     East: 7509897.0557m
North: 4690273.1803m     East: 7509605.3457m
North: 4690275.5783m     East: 7509647.8657m
North: 4690275.7654m     East: 7509555.8272m
North: 4690276.1553m     East: 7509730.0557m
North: 4690276.6884m     East: 7509435.0592m
North: 4690276.8573m     East: 7509669.8757m
North: 4690278.3973m     East: 7509913.3367m
North: 4690278.6373m     East: 7509907.0367m
North: 4690281.6684m     East: 7509437.2792m
North: 4690284.2384m     East: 7509441.2692m
North: 4690285.0583m     East: 7509887.6467m
North: 4690285.8984m     East: 7509444.2192m
North: 4690288.8354m     East: 7509522.9672m
North: 4690289.6354m     East: 7509521.5172m
North: 4690291.4273m     East: 7509768.9257m
North: 4690292.7133m     East: 7509765.1167m
North: 4690294.2563m     East: 7509682.7867m
North: 4690294.6564m     East: 7509509.1882m
North: 4690295.0943m     East: 7509743.7967m
North: 4690297.3374m     East: 7509457.4882m
North: 4690299.2064m     East: 7509491.8082m
North: 4690301.5943m     East: 7509773.5387m
North: 4690303.5123m     East: 7509770.0167m
North: 4690307.4964m     East: 7509464.8392m
North: 4690321.8563m     East: 7509653.4977m
North: 4690322.2053m     East: 7509699.8347m
North: 4690324.1453m     East: 7509684.5877m
North: 4690327.7843m     East: 7509703.2377m
North: 4690329.0043m     East: 7509791.1567m
North: 4690330.9903m     East: 7509787.6777m
North: 4690349.5943m     East: 7509674.0187m
North: 4690351.6043m     East: 7509682.0587m
North: 4690358.0023m     East: 7509717.3187m
North: 4690364.4123m     East: 7509704.0097m
North: 4690374.8323m     East: 7509694.2497m
North: 4690375.7623m     East: 7509692.9197m
North: 4690379.3423m     East: 7509687.8597m
